動作	實體	成員	限制	已實作	未實作	狀態
提出功能需求	Issue tracker、產品待辦清單	junior developer、senior developer、devops、security reviewer	允許建立需求與補充背景；不允許直接改變優先級、部署範圍或安全例外	需求可透過 Issue tracker、PR 討論與文件補充背景；優先級、部署範圍與安全例外仍保留給 reviewer/maintainer 流程決策。	無明確缺口。	已實作
評估需求風險	Issue tracker、架構文件、安全檢查清單	senior developer、devops、security reviewer	允許標記風險與提出控制要求；不允許跳過必要審查或降低既有安全基準	架構文件、ADR、runbook 與安全報告可記錄風險。	尚未把 security reviewer 必要核准或風險標籤規則 codify 成 GitHub ruleset/policy-as-code。	部分實作
建立開發分支	GitHub repository	junior developer、senior developer	允許從主分支建立 feature branch；不允許直接推送到受保護主分支	開發流程以 feature branch 到 PR 為主，main branch 由 GitHub 保護規則/審查流程承接；repo 內未保存可繞過主分支的寫入憑證。	無明確缺口。	已實作
提交程式碼	GitHub repository	junior developer、senior developer	允許推送到個人或功能分支；不允許繞過掃描、審查與分支保護	developer 可推送到功能分支；CI 預設 contents: read，AWS 權限只透過 OIDC job 取得，不依賴長期雲端金鑰。	無明確缺口。	已實作
開啟 Pull Request	GitHub repository、Pull Request workflow	junior developer、senior developer	允許開啟 PR 並觸發唯讀檢查；不允許自行合併未通過審查或檢查的變更	PR 會觸發 infra-ci 靜態檢查；同 repo PR 才能取得唯讀 Terraform plan，fork PR 不會拿 AWS role。	無明確缺口。	已實作
執行 PR 靜態檢查	GitHub Actions、程式碼掃描工具、基礎設施驗證工具	GitHub Actions bot	允許讀取程式碼並執行 lint、test、render、validate；不允許修改雲端資源或寫入部署狀態	infra-ci 執行 terraform fmt/validate/module tests、kubectl kustomize 與 Helm render；static-checks job 不請求 id-token，也不修改雲端資源。	無明確缺口。	已實作
執行 PR 基礎設施預覽	GitHub Actions、雲端唯讀角色、Terraform state	GitHub Actions bot	允許產生變更預覽與評論；不允許建立、更新、刪除雲端資源或修改狀態	trusted PR plan 使用 infra-plan OIDC role、讀取限定 S3 state、產生 plan artifact 與 sticky comment；policy 不允許 state 或 AWS mutation。	無明確缺口。	已實作
審查程式碼	Pull Request、測試報告、安全掃描結果	senior developer、security reviewer	允許 approve、request changes、提出修正建議；不允許在缺少必要檢查時強制放行	PR review 可搭配 workflow 結果、plan artifact 與 scan summary 進行 approve/request changes。	是否設為 required review 由 GitHub repository settings 承接。	已實作
審查基礎設施變更	Pull Request、Terraform plan、架構設計	devops、security reviewer	允許判斷變更是否符合網路、身份與權限邊界；不允許批准超出環境範圍或未解釋的高權限變更	PR 產生 Terraform plan、靜態驗證與文件脈絡供 devops/security reviewer 判讀。	尚未有 policy-as-code 自動阻擋過寬 IAM、網路或未解釋的高權限變更。	部分實作
合併 Pull Request	GitHub repository、Branch protection	senior developer	允許在檢查通過且審查完成後合併；不允許合併失敗檢查、未審查變更或直接繞過主分支保護	合併設計依賴檢查通過與 reviewer approval，main push workflow 才會推進建置/部署。	分支保護細節由 GitHub 設定管理，不在 Terraform 中宣告。	已實作
建置容器映像	GitHub Actions image pipeline、Container builder	GitHub Actions bot	允許根據主分支內容建置映像；不允許使用未審查來源或注入長期雲端金鑰	image-ci 只在 main push 或手動觸發建置，使用 Buildx linux/amd64、commit SHA tag 與 OIDC image-push role，未注入長期 AWS key。	無明確缺口。	已實作
掃描容器映像	Image scanner、Container registry	GitHub Actions bot、security reviewer	允許檢測 high/critical CVE 並輸出報告；不應允許高風險映像在未例外核准下進入部署流程	ECR scan-on-push 與 Trivy HIGH/CRITICAL 報告。	Trivy 仍為 advisory only，尚未因高風險 CVE fail pipeline 或要求例外核准。	部分實作
推送容器映像	Container registry、雲端 image-push role	GitHub Actions bot	允許推送受信任分支產生的不可變映像；不允許覆蓋既有 tag 或推送到非授權 repository	image-push role 只信任 main branch，ECR repository 設為 IMMUTABLE，映像以 commit SHA tag 推送到授權 repositories。	無明確缺口。	已實作
更新部署版本	GitOps repository、Manifest update workflow	GitHub Actions bot、devops	允許以受控流程更新映像版本；不允許混入未審查的應用或基礎設施變更	update-manifests job 只更新 gitops image 欄位並 commit 回 main；透過最小化步驟降低 contents: write token 暴露面。	接受風險：job 需要 contents: write 與 persisted checkout token。	已接受風險
同步應用部署	Argo CD、Kubernetes cluster、GitOps desired state	Argo CD controller	允許將受控 desired state 套用到指定 namespace；不允許管理超出授權範圍的 cluster-wide 資源	Terraform 安裝 Argo CD Application，同步 main 的 gitops/，啟用 prune/selfHeal。	尚未定義 restrictive AppProject 限制可同步 namespace/resource。	部分實作
建立應用資源	Kubernetes API、Application namespace	Argo CD controller	允許建立 deployment、service、route 等應用資源；不允許建立高權限 RBAC、特權 pod 或未授權雲端身份	GitOps 建立 Deployment、Service、StatefulSet、HTTPRoute、ServiceMonitor 等應用資源。	尚未以 policy/RBAC 禁止高權限 RBAC、privileged pod 或未授權 service account。	部分實作
應用 Pod 存取雲端服務	Kubernetes service account、Cloud IAM federation	Application workload	預設不允許存取雲端 API；如需存取，必須使用專屬身份、最小權限與明確用途	app workload 目前沒有 IRSA，因此預設無 AWS API 權限。	缺 dedicated service account 與 automountServiceAccountToken: false，尚未把「不需 Kubernetes API token」明確化。	部分實作
管理公開入口	Gateway controller、Load balancer、DNS automation	Platform controller	允許管理授權 namespace 的公開入口、負載平衡與 DNS 記錄；不允許任意 namespace 自行暴露服務	AWS Load Balancer Controller、Gateway API、ExternalDNS 與 namespace label selector 限制公開 route attachment；DNS mutation 限定 noidilin.dev public hosted zone。	無明確缺口。	已實作
部署基礎設施	GitHub Actions deploy workflow、Terraform、AWS account	devops、GitHub Actions bot	允許在環境審核後套用已預覽的變更；不允許從未受保護分支或未審核流程直接部署	infra-deploy 先以 plan role 產生 preflight plan，再在 main branch 與 dev environment approval 後用 apply role 套用，並執行 route smoke checks。	無明確缺口。	已實作
銷毀開發平台	GitHub Actions destroy workflow、Terraform、AWS account	devops、security reviewer	允許在人工確認與環境審核後銷毀 disposable 資源；不允許刪除 durable bootstrap、registry 或共享帳號基礎資源	infra-destroy 要求 main branch、手動輸入 destroy dev platform、dev environment gate 與 apply role；destroy 後執行驗證以保留 durable bootstrap/registry。	無明確缺口。	已實作
存取 Kubernetes API	EKS API、Kubernetes RBAC、Identity provider	devops	允許依角色進行維運查詢或平台管理；不允許使用個人臨時 admin 權限長期操作	Terraform/GitHub apply role 可透過 EKS API 管理平台，EKS private endpoint 啟用。	人員 operator 的 Identity Center/EKS access entries 與 Kubernetes RBAC 尚未 codify。	部分實作
檢視監控資料	Grafana、Prometheus、CloudWatch	devops、security reviewer	允許檢視服務健康、metrics、logs 與告警；不允許取得不必要的 secret、修改部署或擴權到管理員操作	kube-prometheus-stack、Grafana dashboard 與 Fluent Bit 到 CloudWatch Logs 已部署。	Grafana/Argo CD 尚未接 SSO、IP allowlist 或細緻 RBAC；secret 遮罩與稽核仍有限。	部分實作
處理事件調查	Observability tools、Runbook、Incident channel	devops、Kira	允許查詢症狀、關聯證據與提出修復建議；不允許在未授權下直接改動平台資源	runbook、route smoke、CloudWatch pod logs、Prometheus/Grafana 與 Kira/AIOps 查詢 logs/metrics/health 支援調查。	尚未形成告警到 incident channel 到授權修復的自動閉環。	部分實作
讀取營運密鑰	Secret manager、KMS、Audit logs	devops、security reviewer	允許在必要情境下讀取或輪替指定 secret；不允許將 secret 印出到 CI logs、PR 討論或文件	無。	尚未建立 Secrets Manager/KMS/audit-based secret read workflow；目前 app secret 在 Git，Argo CD/Grafana 密碼在 Terraform state/Kubernetes Secret。	未實作
輪替憑證與密鑰	Secret manager、IAM、Kubernetes secret distribution	devops、security reviewer	允許依流程輪替、撤銷與重新發佈憑證；不允許未經審核改變權限邊界或留下舊憑證可用	無。	尚未定義 secret rotation、撤銷、重新發布或 Kubernetes secret distribution 流程；目前沒有自動輪替與舊憑證失效控制。	未實作
修改 IAM 權限	IAM policy、IAM role、Permission boundary	devops、security reviewer	允許針對明確缺口做最小權限調整；不允許授予廣泛 admin、wildcard pass-role 或無期限例外	IAM 角色與 policy 由 Terraform 管理，套用 permission boundary，PR plan 可審查變更。	boundary 由 repo 外管理，且尚無 policy-as-code/必要安全核准自動阻擋過寬授權。	部分實作
審計權限與部署紀錄	Audit logs、Git history、CloudTrail、Workflow logs	security reviewer	允許讀取紀錄、追蹤決策與產出稽核報告；不允許修改原始紀錄或取得超出稽核所需的操作權限	Git history、PR 討論、workflow logs、Terraform plan artifacts 與 AWS CloudTrail 可作為追蹤來源。	repo 未 codify 集中化稽核保留、不可竄改封存或 reviewer-only audit permission。	部分實作
